strategy_id,mc_iterations,mc_avg_dd,mc_p95_dd,mc_p99_dd,mc_prob_ruin_30,mc_prob_ruin_50,mc_p5_profit,mc_median_pf,mc_stress_profitable,mc_passed
KC_03,1000,0.0,0.0,0.0,0.0,0.0,201.16,401.0586,100.0,True
KC_01,1000,0.0,0.0,0.0,0.0,0.0,199.91,401.0586,100.0,True
KC_02,1000,0.0,0.0,0.0,0.0,0.0,202.97,401.0586,100.0,True
EW_01,1000,0.01,0.01,0.01,0.0,0.0,91.2,77.9541,100.0,True
CH_02,1000,0.0,0.0,0.0,0.0,0.0,43.22,335.9529,100.0,True
ARN_01,1000,0.06,0.07,0.07,0.0,0.0,116.13,20.6457,100.0,True
ARN_03,1000,0.06,0.07,0.07,0.0,0.0,117.2,20.6457,100.0,True
ARN_02,1000,0.06,0.07,0.07,0.0,0.0,116.8,20.6457,100.0,True
CDL_08,1000,0.0,0.0,0.0,0.0,0.0,13.64,999.0,100.0,True
DON_03,1000,0.3,0.4,0.48,0.0,0.0,728.43,5.8987,100.0,True
FI_04,1000,0.0,0.0,0.0,0.0,0.0,22.47,82.5702,100.0,True
RVI_02,1000,0.22,0.33,0.43,0.0,0.0,354.7,4.2775,100.0,True
VORTEX_05,1000,0.17,0.25,0.26,0.0,0.0,74.44,4.361,100.0,True
FISHER_03,1000,0.32,0.46,0.57,0.0,0.0,437.45,3.1707,100.0,True
FISHER_05,1000,0.32,0.48,0.62,0.0,0.0,442.11,3.1707,100.0,True
FISHER_01,1000,0.32,0.48,0.57,0.0,0.0,432.65,3.1707,100.0,True
VTX_03,1000,0.27,0.38,0.45,0.0,0.0,183.94,3.9276,100.0,True
ENV_01,1000,0.28,0.43,0.5,0.0,0.0,123.25,3.1318,100.0,True
ULT_03,1000,0.45,0.68,0.82,0.0,0.0,232.26,2.6541,100.0,True
ULT_02,1000,0.45,0.67,0.87,0.0,0.0,231.34,2.6541,100.0,True
SM_09,1000,0.01,0.01,0.01,0.0,0.0,3.36,7.4083,100.0,True
WR_02,1000,0.38,0.51,0.63,0.0,0.0,187.24,2.705,100.0,True
SM_07,1000,0.14,0.16,0.16,0.0,0.0,19.58,2.9258,100.0,True
MACD_10,1000,0.27,0.4,0.52,0.0,0.0,111.46,2.5535,100.0,True
BB_02,1000,0.33,0.53,0.65,0.0,0.0,81.67,2.0647,100.0,True
AD_03,1000,0.11,0.13,0.13,0.0,0.0,-0.03,1.7492,100.0,True
TSI_05,1000,0.43,0.62,0.75,0.0,0.0,75.34,1.8188,100.0,True
MA_08,1000,0.35,0.53,0.64,0.0,0.0,35.11,1.6791,100.0,True
WYC_06,1000,0.24,0.28,0.28,0.0,0.0,-4.73,1.2282,100.0,True
