strategy_id,mc_iterations,mc_avg_dd,mc_p95_dd,mc_p99_dd,mc_prob_ruin_30,mc_prob_ruin_50,mc_p5_profit,mc_median_pf,mc_stress_profitable,mc_passed
SM_07,1000,0.02,0.02,0.02,0.0,0.0,32.66,21.3755,100.0,True
CDL_08,1000,0.0,0.0,0.0,0.0,0.0,7.97,999.0,100.0,True
AD_03,1000,0.03,0.04,0.04,0.0,0.0,13.01,7.6507,100.0,True
TSI_05,1000,0.35,0.52,0.62,0.0,0.0,106.39,2.7804,100.0,True
PSAR_04,1000,0.37,0.54,0.63,0.0,0.0,143.3,1.8986,100.0,True
ULT_03,1000,0.34,0.47,0.61,0.0,0.0,197.7,1.8246,100.0,True
ULT_02,1000,0.34,0.46,0.55,0.0,0.0,197.05,1.8246,100.0,True
ARN_01,1000,0.18,0.27,0.33,0.0,0.0,144.14,2.3194,100.0,True
ARN_02,1000,0.19,0.28,0.35,0.0,0.0,143.62,2.3194,100.0,True
KST_02,1000,0.41,0.58,0.68,0.0,0.0,62.56,1.7002,100.0,True
KST_01,1000,0.42,0.58,0.71,0.0,0.0,57.79,1.7002,100.0,True
CP_07,1000,0.17,0.25,0.32,0.0,0.0,25.91,2.1082,100.0,True
MA_08,1000,0.33,0.5,0.62,0.0,0.0,51.32,1.5861,100.0,True
FISHER_05,1000,0.54,0.75,0.81,0.0,0.0,152.04,1.3614,100.0,True
FISHER_01,1000,0.53,0.75,0.85,0.0,0.0,149.03,1.3614,100.0,True
FISHER_03,1000,0.53,0.75,0.85,0.0,0.0,156.21,1.3614,100.0,True
ENV_01,1000,0.51,0.77,0.96,0.0,0.0,48.89,1.4188,100.0,True
DON_03,1000,0.51,0.76,0.89,0.0,0.0,143.03,1.3944,100.0,True
BB_02,1000,0.38,0.58,0.69,0.0,0.0,88.62,1.4944,100.0,True
KC_03,1000,0.34,0.47,0.56,0.0,0.0,24.04,1.2931,100.0,True
KC_01,1000,0.34,0.47,0.54,0.0,0.0,24.17,1.2931,100.0,True
KC_02,1000,0.34,0.47,0.56,0.0,0.0,23.5,1.2931,100.0,True
MS_07,1000,0.33,0.5,0.57,0.0,0.0,-2.62,1.1778,100.0,True
SM_09,1000,0.04,0.05,0.05,0.0,0.0,3.15,2.3904,100.0,True
REG_05,1000,0.38,0.59,0.7,0.0,0.0,16.5,1.2916,100.0,True
OBV_02,1000,0.39,0.61,0.73,0.0,0.0,-8.29,1.0972,100.0,True
