strategy_id,2026-01,2026-02
SM_07,22.4443,19.5537
CDL_08,7.9979,4.1455
AD_03,6.6089,18.3288
TSI_05,112.9717,30.6536
PSAR_04,76.2758,115.2167
ULT_03,176.1827,77.0021
ULT_02,176.1827,77.0021
ARN_01,146.5468,40.4955
ARN_02,146.5468,40.4955
KST_02,61.4648,30.6329
KST_01,61.4648,30.6329
CP_07,5.6912,32.426
MA_08,19.621,58.7839
FISHER_05,129.1468,76.661
FISHER_01,129.1468,76.661
FISHER_03,129.1468,76.661
ENV_01,40.2001,42.8965
DON_03,108.5009,84.6477
BB_02,37.6985,89.8035
KC_03,53.0842,-10.8057
KC_01,53.0842,-10.8057
KC_02,53.0842,-10.8057
MS_07,16.1304,-3.2001
SM_09,3.4957,3.7157
REG_05,-3.4905,42.2347
OBV_02,18.379,-6.901
