strategy_id,regime,bars,trades,pf,wr,net,profitable
KC_03,TRENDING_UP,177,11,142.5632,90.91,39.89,True
KC_03,TRENDING_DOWN,358,15,867.5516,93.33,88.13,True
KC_03,RANGING,416,13,164.3669,76.92,39.89,True
KC_03,HIGH_VOL,120,6,999.0,100.0,41.11,True
KC_03,LOW_VOL,23,0,0.0,0.0,0.0,False
KC_01,TRENDING_UP,177,11,142.5632,90.91,39.89,True
KC_01,TRENDING_DOWN,358,15,867.5516,93.33,88.13,True
KC_01,RANGING,416,13,164.3669,76.92,39.89,True
KC_01,HIGH_VOL,120,6,999.0,100.0,41.11,True
KC_01,LOW_VOL,23,0,0.0,0.0,0.0,False
KC_02,TRENDING_UP,177,11,142.5632,90.91,39.89,True
KC_02,TRENDING_DOWN,358,15,867.5516,93.33,88.13,True
KC_02,RANGING,416,13,164.3669,76.92,39.89,True
KC_02,HIGH_VOL,120,6,999.0,100.0,41.11,True
KC_02,LOW_VOL,23,0,0.0,0.0,0.0,False
EW_01,TRENDING_UP,177,6,999.0,100.0,10.77,True
EW_01,TRENDING_DOWN,358,7,999.0,100.0,66.81,True
EW_01,RANGING,416,11,6.7116,63.64,7.52,True
EW_01,HIGH_VOL,120,4,999.0,100.0,25.64,True
EW_01,LOW_VOL,23,0,0.0,0.0,0.0,False
CH_02,TRENDING_UP,177,2,999.0,100.0,15.84,True
CH_02,TRENDING_DOWN,358,8,98.6562,87.5,16.16,True
CH_02,RANGING,416,3,999.0,100.0,9.69,True
CH_02,HIGH_VOL,120,3,999.0,100.0,4.68,True
CH_02,LOW_VOL,23,0,0.0,0.0,0.0,False
ARN_01,TRENDING_UP,177,1,999.0,100.0,2.15,True
ARN_01,TRENDING_DOWN,358,7,999.0,85.71,23.48,True
ARN_01,RANGING,416,28,9.9375,85.71,66.59,True
ARN_01,HIGH_VOL,120,3,999.0,100.0,31.09,True
ARN_01,LOW_VOL,23,0,0.0,0.0,0.0,False
ARN_03,TRENDING_UP,177,1,999.0,100.0,2.15,True
ARN_03,TRENDING_DOWN,358,7,999.0,85.71,23.48,True
ARN_03,RANGING,416,28,9.9375,85.71,66.59,True
ARN_03,HIGH_VOL,120,3,999.0,100.0,31.09,True
ARN_03,LOW_VOL,23,0,0.0,0.0,0.0,False
ARN_02,TRENDING_UP,177,1,999.0,100.0,2.15,True
ARN_02,TRENDING_DOWN,358,7,999.0,85.71,23.48,True
ARN_02,RANGING,416,28,9.9375,85.71,66.59,True
ARN_02,HIGH_VOL,120,3,999.0,100.0,31.09,True
ARN_02,LOW_VOL,23,0,0.0,0.0,0.0,False
CDL_08,TRENDING_UP,177,0,0.0,0.0,0.0,False
CDL_08,TRENDING_DOWN,358,4,999.0,100.0,9.47,True
CDL_08,RANGING,416,3,999.0,100.0,6.88,True
CDL_08,HIGH_VOL,120,1,999.0,100.0,2.93,True
CDL_08,LOW_VOL,23,0,0.0,0.0,0.0,False
DON_03,TRENDING_UP,177,41,2.4804,82.93,78.22,True
DON_03,TRENDING_DOWN,358,101,15.3842,88.12,429.44,True
DON_03,RANGING,416,81,3.0913,76.54,137.86,True
DON_03,HIGH_VOL,120,39,11.147,87.18,158.99,True
DON_03,LOW_VOL,23,0,0.0,0.0,0.0,False
FI_04,TRENDING_UP,177,3,999.0,100.0,3.19,True
FI_04,TRENDING_DOWN,358,3,62.0818,66.67,19.41,True
FI_04,RANGING,416,5,999.0,100.0,9.7,True
FI_04,HIGH_VOL,120,0,0.0,0.0,0.0,False
FI_04,LOW_VOL,23,0,0.0,0.0,0.0,False
RVI_02,TRENDING_UP,177,36,1.8819,83.33,29.66,True
RVI_02,TRENDING_DOWN,358,65,19.4035,93.85,246.6,True
RVI_02,RANGING,416,70,1.8563,70.0,62.91,True
RVI_02,HIGH_VOL,120,20,162.033,90.0,71.19,True
RVI_02,LOW_VOL,23,0,0.0,0.0,0.0,False
VORTEX_05,TRENDING_UP,177,12,999.0,100.0,26.17,True
VORTEX_05,TRENDING_DOWN,358,17,5.2123,88.24,51.76,True
VORTEX_05,RANGING,416,9,1.6356,66.67,2.62,True
VORTEX_05,HIGH_VOL,120,7,73.2421,85.71,23.4,True
VORTEX_05,LOW_VOL,23,0,0.0,0.0,0.0,False
FISHER_03,TRENDING_UP,177,52,3.9239,80.77,81.24,True
FISHER_03,TRENDING_DOWN,358,99,8.0085,86.87,324.98,True
FISHER_03,RANGING,416,89,1.562,74.16,64.57,True
FISHER_03,HIGH_VOL,120,34,4.8376,88.24,72.76,True
FISHER_03,LOW_VOL,23,0,0.0,0.0,0.0,False
FISHER_05,TRENDING_UP,177,52,3.9239,80.77,81.24,True
FISHER_05,TRENDING_DOWN,358,99,8.0085,86.87,324.98,True
