strategy_id,regime,bars,trades,pf,wr,net,profitable
SM_07,TRENDING_UP,177,5,6.6871,80.0,11.74,True
SM_07,TRENDING_DOWN,358,5,999.0,100.0,9.72,True
SM_07,RANGING,416,5,999.0,100.0,8.93,True
SM_07,HIGH_VOL,120,3,999.0,100.0,8.34,True
SM_07,LOW_VOL,23,0,0.0,0.0,0.0,False
CDL_08,TRENDING_UP,177,0,0.0,0.0,0.0,False
CDL_08,TRENDING_DOWN,358,4,999.0,100.0,2.75,True
CDL_08,RANGING,416,3,999.0,100.0,8.0,True
CDL_08,HIGH_VOL,120,1,999.0,100.0,0.68,True
CDL_08,LOW_VOL,23,0,0.0,0.0,0.0,False
AD_03,TRENDING_UP,177,0,0.0,0.0,0.0,False
AD_03,TRENDING_DOWN,358,1,999.0,100.0,11.93,True
AD_03,RANGING,416,4,999.0,100.0,7.24,True
AD_03,HIGH_VOL,120,2,999.0,100.0,9.51,True
AD_03,LOW_VOL,23,0,0.0,0.0,0.0,False
TSI_05,TRENDING_UP,177,13,6.1625,92.31,36.62,True
TSI_05,TRENDING_DOWN,358,22,3.5492,95.45,66.33,True
TSI_05,RANGING,416,28,2.8182,89.29,51.85,True
TSI_05,HIGH_VOL,120,8,0.2771,75.0,-34.31,False
TSI_05,LOW_VOL,23,0,0.0,0.0,0.0,False
PSAR_04,TRENDING_UP,177,20,1.656,80.0,23.05,True
PSAR_04,TRENDING_DOWN,358,34,2.1841,76.47,86.5,True
PSAR_04,RANGING,416,32,2.1342,75.0,60.15,True
PSAR_04,HIGH_VOL,120,11,1.855,81.82,21.54,True
PSAR_04,LOW_VOL,23,0,0.0,0.0,0.0,False
ULT_03,TRENDING_UP,177,25,1.5005,72.0,16.38,True
ULT_03,TRENDING_DOWN,358,63,2.1128,55.56,119.26,True
ULT_03,RANGING,416,56,2.3512,67.86,98.3,True
ULT_03,HIGH_VOL,120,23,1.1241,39.13,6.51,True
ULT_03,LOW_VOL,23,0,0.0,0.0,0.0,False
ULT_02,TRENDING_UP,177,25,1.5005,72.0,16.38,True
ULT_02,TRENDING_DOWN,358,63,2.1128,55.56,119.26,True
ULT_02,RANGING,416,56,2.3512,67.86,98.3,True
ULT_02,HIGH_VOL,120,23,1.1241,39.13,6.51,True
ULT_02,LOW_VOL,23,0,0.0,0.0,0.0,False
ARN_01,TRENDING_UP,177,17,2.3891,64.71,23.28,True
ARN_01,TRENDING_DOWN,358,33,2.0151,48.48,45.52,True
ARN_01,RANGING,416,46,3.0059,65.22,75.93,True
ARN_01,HIGH_VOL,120,11,0.3697,27.27,-12.48,False
ARN_01,LOW_VOL,23,0,0.0,0.0,0.0,False
ARN_02,TRENDING_UP,177,17,2.3891,64.71,23.28,True
ARN_02,TRENDING_DOWN,358,33,2.0151,48.48,45.52,True
ARN_02,RANGING,416,46,3.0059,65.22,75.93,True
ARN_02,HIGH_VOL,120,11,0.3697,27.27,-12.48,False
ARN_02,LOW_VOL,23,0,0.0,0.0,0.0,False
KST_02,TRENDING_UP,177,10,3.3187,90.0,15.48,True
KST_02,TRENDING_DOWN,358,24,1.7466,83.33,48.4,True
KST_02,RANGING,416,27,2.3006,88.89,31.34,True
KST_02,HIGH_VOL,120,8,1.1258,87.5,2.23,True
KST_02,LOW_VOL,23,0,0.0,0.0,0.0,False
