rank,strategy_id,category,classification,final_score,train_pf,val_pf,test_pf,test_sharpe,test_wr,test_trades,test_net,test_dd_pct,mc_p95_dd,mc_p99_dd,mc_prob_ruin_30,mc_stress_profitable,regime_diversity,profitable_regimes,active_regimes
1,KC_03,KC,PRODUCTION_READY,0.9718,8.611,7.025,401.0586,10.4384,90.2,51,251.1168,0.0074,0.0,0.0,0.0,100.0,1.0,4,4
2,KC_01,KC,PRODUCTION_READY,0.9718,8.611,7.025,401.0586,10.4384,90.2,51,251.1168,0.0074,0.0,0.0,0.0,100.0,1.0,4,4
3,KC_02,KC,PRODUCTION_READY,0.9718,8.611,7.025,401.0586,10.4384,90.2,51,251.1168,0.0074,0.0,0.0,0.0,100.0,1.0,4,4
4,EW_01,EW,PRODUCTION_READY,0.9675,4.3037,4.291,77.9541,8.7902,85.29,34,117.3011,0.0123,0.01,0.01,0.0,100.0,1.0,4,4
5,CH_02,CH,PRODUCTION_READY,0.9564,5.0923,41.9605,335.9529,9.7876,94.74,19,55.4347,0.0017,0.0,0.0,0.0,100.0,1.0,3,3
6,ARN_01,ARN,PRODUCTION_READY,0.9477,5.7865,3.7754,20.6457,10.5497,88.64,44,146.7222,0.0685,0.07,0.07,0.0,100.0,1.0,3,3
7,ARN_03,ARN,PRODUCTION_READY,0.9477,5.7865,3.7754,20.6457,10.5497,88.64,44,146.7222,0.0685,0.07,0.07,0.0,100.0,1.0,3,3
8,ARN_02,ARN,PRODUCTION_READY,0.9477,5.7865,3.7754,20.6457,10.5497,88.64,44,146.7222,0.0685,0.07,0.07,0.0,100.0,1.0,3,3
9,CDL_08,CDL,PRODUCTION_READY,0.9424,13.6749,999.0,999.0,8.1198,100.0,9,19.6198,0.0065,0.0,0.0,0.0,100.0,1.0,2,2
10,DON_03,DON,PRODUCTION_READY,0.9137,6.3869,8.3604,5.8987,6.9528,82.83,297,882.1321,0.3789,0.4,0.48,0.0,100.0,1.0,4,4
11,FI_04,FI,PRODUCTION_READY,0.9104,2.3957,10.4403,82.5702,4.2969,78.57,14,40.1162,0.0065,0.0,0.0,0.0,100.0,1.0,3,3
12,RVI_02,RVI,PRODUCTION_READY,0.8946,3.1776,4.455,4.2775,6.0424,80.47,215,434.5226,0.1975,0.33,0.43,0.0,100.0,1.0,4,4
13,VORTEX_05,VORTEX,PRODUCTION_READY,0.8758,2.9626,2.1594,4.361,5.3033,87.5,56,101.6791,0.2142,0.25,0.26,0.0,100.0,1.0,4,4
14,FISHER_03,FISHER,PRODUCTION_READY,0.8718,2.9879,3.2034,3.1707,4.7546,81.61,299,534.9735,0.3047,0.46,0.57,0.0,100.0,1.0,4,4
15,FISHER_05,FISHER,PRODUCTION_READY,0.8718,2.9879,3.2034,3.1707,4.7546,81.61,299,534.9735,0.3047,0.48,0.62,0.0,100.0,1.0,4,4
16,FISHER_01,FISHER,PRODUCTION_READY,0.8718,2.9879,3.2034,3.1707,4.7546,81.61,299,534.9735,0.3047,0.48,0.57,0.0,100.0,1.0,4,4
17,VTX_03,VTX,PRODUCTION_READY,0.8618,3.5949,2.4589,3.9276,5.6058,84.48,116,230.9611,0.2555,0.38,0.45,0.0,100.0,1.0,4,4
18,ENV_01,ENV,PRODUCTION_READY,0.849,4.7071,6.0649,3.1318,4.9563,86.84,76,165.0587,0.2539,0.43,0.5,0.0,100.0,1.0,4,4
19,ULT_03,ULT,PRODUCTION_READY,0.7968,4.2235,6.855,2.6541,3.6964,83.24,173,298.4266,0.4043,0.68,0.82,0.0,100.0,1.0,4,4
20,ULT_02,ULT,PRODUCTION_READY,0.7968,4.2235,6.855,2.6541,3.6964,83.24,173,298.4266,0.4043,0.67,0.87,0.0,100.0,1.0,4,4
21,SM_09,SM,PRODUCTION_READY,0.7902,12.552,999.0,7.4083,3.9196,62.5,8,5.754,0.0078,0.01,0.01,0.0,100.0,1.0,2,2
22,WR_02,WR,PRODUCTION_READY,0.7897,4.9176,4.7064,2.705,3.9429,80.12,166,241.2587,0.5141,0.51,0.63,0.0,100.0,1.0,4,4
23,SM_07,SM,PRODUCTION_READY,0.7881,1.5004,1.6474,2.9258,2.8652,95.0,20,30.6317,0.1587,0.16,0.16,0.0,100.0,1.0,4,4
24,MACD_10,MACD,PRODUCTION_READY,0.7853,5.5895,16.1848,2.5535,4.1106,78.0,100,150.0964,0.2438,0.4,0.52,0.0,100.0,1.0,4,4
25,BB_02,BB,PRODUCTION_READY,0.7134,3.9994,2.8999,2.0647,3.4229,80.6,67,116.4131,0.2523,0.53,0.65,0.0,100.0,0.75,3,4
26,AD_03,AD,PRODUCTION_READY,0.6836,999.0,1.45,1.7492,0.9956,87.5,8,9.7316,0.1296,0.13,0.13,0.0,100.0,1.0,1,1
27,TSI_05,TSI,PRODUCTION_READY,0.6782,5.835,5.296,1.8188,2.5543,77.32,97,112.1407,0.4284,0.62,0.75,0.0,100.0,0.75,3,4
28,MA_08,MA,PRODUCTION_READY,0.6494,4.1248,5.2601,1.6791,2.1889,67.8,59,60.2925,0.3056,0.53,0.64,0.0,100.0,0.5,2,4
29,WYC_06,WYC,ACCEPTABLE,0.6011,1.4751,1.6595,1.2282,0.3857,90.91,11,6.2831,0.2814,0.28,0.28,0.0,100.0,0.5,1,2
